Number of Genomes,10,15,30,50,70,200,400,600,800,1000,2500
,GCA__000009005.1,GCA__000009005.1,GCA__000009005.1,GCA__000009005.1,GCA__000009005.1,GCA__000009005.1,GCA__000009005.1,GCA_000009005.1,GCA_000009005.1,GCA_000009005.1,GCA_000009005.1
,GCA__000009645.1,GCA__000009645.1,GCA__000009645.1,GCA__000009645.1,GCA__000009645.1,GCA__000009585.1,GCA__000009585.1,GCA_000009585.1,GCA_000009585.1,GCA_000009585.1,GCA_000009645.1
,GCA__000010465.1,GCA__000010465.1,GCA__000010465.1,GCA__000010465.1,GCA__000010465.1,GCA__000009645.1,GCA__000009645.1,GCA_000009645.1,GCA_000009645.1,GCA_000009645.1,GCA_000010445.1
,GCA__000011265.1,GCA__000011265.1,GCA__000011265.1,GCA__000011265.1,GCA__000011265.1,GCA__000009665.1,GCA__000009665.1,GCA_000009665.1,GCA_000009665.1,GCA_000009665.1,GCA_000010465.1
,GCA__000248535.2,GCA__000011505.1,GCA__000011505.1,GCA__000011505.1,GCA__000011505.1,GCA__000010445.1,GCA__000010445.1,GCA_000010445.1,GCA_000010445.1,GCA_000010445.1,GCA_000011265.1
,GCA__000248555.3,GCA__000012045.1,GCA__000012045.1,GCA__000012045.1,GCA__000012045.1,GCA__000010465.1,GCA__000010465.1,GCA_000010465.1,GCA_000010465.1,GCA_000010465.1,GCA_000011505.1
,GCA__000248575.2,GCA__000013465.1,GCA__000013465.1,GCA__000013465.1,GCA__000013465.1,GCA__000011265.1,GCA__000011265.1,GCA_000011265.1,GCA_000011265.1,GCA_000011265.1,GCA_000012045.1
,GCA__000248595.2,GCA__000016805.1,GCA__000016805.1,GCA__000016805.1,GCA__000016805.1,GCA__000011505.1,GCA__000011505.1,GCA_000011505.1,GCA_000011505.1,GCA_000011505.1,GCA_000013465.1
,GCA__000248615.2,GCA__000017085.1,GCA__000017085.1,GCA__000017085.1,GCA__000017085.1,GCA__000011525.1,GCA__000011525.1,GCA_000011525.1,GCA_000011525.1,GCA_000011525.1,GCA_000016805.1
,GCA__000248635.2,GCA__000162635.1,GCA__000162635.1,GCA__000162635.1,GCA__000162635.1,GCA__000012045.1,GCA__000012045.1,GCA_000012045.1,GCA_000012045.1,GCA_000012045.1,GCA_000017085.1
,,GCA__000162675.1,GCA__000162675.1,GCA__000162675.1,GCA__000162675.1,GCA__000013425.1,GCA__000013425.1,GCA_000013425.1,GCA_000013425.1,GCA_000013425.1,GCA_000024585.1
,,GCA__000242575.2,GCA__000242575.2,GCA__000162715.1,GCA__000162715.1,GCA__000013465.1,GCA__000013465.1,GCA_000013465.1,GCA_000013465.1,GCA_000013465.1,GCA_000025145.2
,,GCA__000245575.2,GCA__000245575.2,GCA__000189455.3,GCA__000162735.1,GCA__000016805.1,GCA__000016805.1,GCA_000016805.1,GCA_000016805.1,GCA_000016805.1,GCA_000144955.1
,,GCA__000245595.2,GCA__000245595.2,GCA__000193855.2,GCA__000162795.1,GCA__000017085.1,GCA__000017085.1,GCA_000017085.1,GCA_000017085.1,GCA_000017085.1,GCA_000146385.1
,,GCA__000247255.2,GCA__000247255.2,GCA__000205345.2,GCA__000162815.1,GCA__000017125.1,GCA__000017125.1,GCA_000017125.1,GCA_000017125.1,GCA_000017125.1,GCA_000149015.1
,,GCA__000247275.2,GCA__000247275.2,GCA__000205365.2,GCA__000162835.1,GCA__000024585.1,GCA__000024585.1,GCA_000024585.1,GCA_000024585.1,GCA_000024585.1,GCA_000153665.1
,,GCA__000247295.2,GCA__000247295.2,GCA__000215425.2,GCA__000163335.1,GCA__000025145.2,GCA__000025145.2,GCA_000025145.2,GCA_000025145.2,GCA_000025145.2,GCA_000159535.2
,,GCA__000247315.2,GCA__000247315.2,GCA__000215445.2,GCA__000164715.1,GCA__000027045.1,GCA__000027045.1,GCA_000027045.1,GCA_000027045.1,GCA_000027045.1,GCA_000159555.1
,,GCA__000247335.2,GCA__000247335.2,GCA__000221745.2,GCA__000171455.1,GCA__000144955.1,GCA__000144955.1,GCA_000144955.1,GCA_000144955.1,GCA_000144955.1,GCA_000160195.1
,,GCA__000247355.2,GCA__000247355.2,GCA__000221765.2,GCA__000174475.1,GCA__000145595.1,GCA__000145595.1,GCA_000145595.1,GCA_000145595.1,GCA_000145595.1,GCA_000160395.1
,,GCA__000247395.2,GCA__000247395.2,GCA__000239235.1,GCA__000174515.1,GCA__000146385.1,GCA__000146385.1,GCA_000146385.1,GCA_000146385.1,GCA_000146385.1,GCA_000160415.1
,,GCA__000247415.2,GCA__000247415.2,GCA__000239535.2,GCA__000174535.1,GCA__000149015.1,GCA__000149015.1,GCA_000149015.1,GCA_000149015.1,GCA_000149015.1,GCA_000162595.1
,,GCA__000248495.2,GCA__000248495.2,GCA__000239575.2,GCA__000174555.1,GCA__000153665.1,GCA__000153665.1,GCA_000153665.1,GCA_000153665.1,GCA_000153665.1,GCA_000162635.1
,,GCA__000248515.2,GCA__000248515.2,GCA__000239595.2,GCA__000174575.1,GCA__000159535.2,GCA__000159535.2,GCA_000159535.2,GCA_000159535.2,GCA_000159535.2,GCA_000162675.1
,,GCA__000248535.2,GCA__000248535.2,GCA__000239615.2,GCA__000174595.1,GCA__000159555.1,GCA__000159555.1,GCA_000159555.1,GCA_000159555.1,GCA_000159555.1,GCA_000162715.1
,,GCA__000248555.3,GCA__000248555.3,GCA__000239635.2,GCA__000174615.1,GCA__000160195.1,GCA__000160195.1,GCA_000160195.1,GCA_000160195.1,GCA_000160195.1,GCA_000162735.1
,,GCA__000248575.2,GCA__000248575.2,GCA__000239655.2,GCA__000174635.1,GCA__000160335.2,GCA__000160335.2,GCA_000160335.2,GCA_000160335.2,GCA_000160335.2,GCA_000162795.1
,,GCA__000248595.2,GCA__000248595.2,GCA__000242475.2,GCA__000175495.1,GCA__000160355.1,GCA__000160355.1,GCA_000160355.1,GCA_000160355.1,GCA_000160355.1,GCA_000162815.1
